name,gender,disciplines,country
FARINELLI Roberta,Female,Artistic Swimming,Italy
POMILIO Amedeo,Male,Water Polo,Italy
GIALLOMBARDO Patrizia,Female,Artistic Swimming,Italy
di CECCA Cosimino,Male,Water Polo,Italy
JANECKOVA Katerina,Female,Artistic Gymnastics,Czechia
LEAL COLMENAREZ Mario,Male,Taekwondo,Venezuela
MOHAMMED Aisha,Female,Basketball,Nigeria
GARCIA CABRERA David,Male,Basketball,Puerto Rico
DELANEY Mike,Male,Hockey,New Zealand
McALEESE Shea,Male,Hockey,New Zealand
CLARK Gregg,Male,Hockey,New Zealand
NICOL Greg,Male,Hockey,New Zealand
MACKINTOSH Euan,Male,Rugby Sevens,New Zealand
SWEENEY Cory,Male,Rugby Sevens,New Zealand
GIBBS Rodney,Male,Rugby Sevens,New Zealand
COCKER Edwin,Male,Rugby Sevens,New Zealand
CAMA Tomasi,Male,Rugby Sevens,New Zealand
ROSS Stu,Male,Rugby Sevens,New Zealand
MURPHY Amanda,Female,Rugby Sevens,New Zealand
McMASTER Travis,Male,Rugby Sevens,New Zealand
ANNAN Alyson Regina,Female,Hockey,China
LU Zhuan,Male,Rugby Sevens,China
PASQUALETTI Massimo,Male,Rugby Sevens,China
GOMEZ AGUERA Salvador Emilio,Male,Water Polo,China
JANE GIRALT Juan,Male,Water Polo,China
WU Zhiyu,Male,Water Polo,China
QU Tao,Female,Rhythmic Gymnastics,China
SUN Dan,Female,Rhythmic Gymnastics,China
XU Yanshu,Female,Rhythmic Gymnastics,China
BLIZNYUK Anastasia,Female,Rhythmic Gymnastics,China
LARHOLM Erik Jonas,Male,Handball,Korea
RADIC Vanja,Female,Handball,Korea
SIGNELL Kurt Henrik,Male,Handball,Korea
AGAFONTSEV Sergiy,Male,Artistic Gymnastics,"Hong Kong, China"
KRCE Lucijan,Male,Artistic Gymnastics,Croatia
MADAREVIC Vladimir,Male,Artistic Gymnastics,Croatia
MWAPE Bruce,Male,Football,Zambia
LAVARINI Stefano,Male,Volleyball,Poland
VETTORI Nicola,Male,Volleyball,Poland
PACHLINSKI Krystian,Male,Volleyball,Poland
SUFA Bartosz,Male,Volleyball,Poland
NTHALA Charity,Female,Football,Zambia
KOHLOFFEL Markus,Male,Taekwondo,EOR
ZAREEI SHAMSABADI Manni,Male,Taekwondo,EOR
SABAH Asif,Male,Taekwondo,EOR
YUSSUPOVA Aliya,Female,Rhythmic Gymnastics,Kazakhstan
DUISENGALIYEVA Danissa,Female,Rhythmic Gymnastics,Kazakhstan
NOLANO Claudio,Male,Taekwondo,Italy
ALFARO RODRIGUEZ Santiago,Male,Rugby Sevens,Uruguay
LEE KIM Daniel,Male,Taekwondo,Uruguay
RENARD Herve,Male,Football,France
BONADEI Laurent,Male,Football,France
BLAHIC Eric,Male,Football,France
FOUACHE Gilles,Male,Football,France
MAMAYEV Nursultan,Male,Taekwondo,Kazakhstan
KIM Kwangsu,Male,Taekwondo,Kazakhstan
BESBAYEV Olzhas,Male,Taekwondo,Kazakhstan
SAGYNAYEV Kanat,Male,Taekwondo,Kazakhstan
DOBLER Mauro,Male,Football,Argentina
ECHEVERRY Alex,Male,Football,Colombia
PHIRI Yona,Male,Football,Zambia
GRAND'PIERRE Naomy Hope,Female,Artistic Gymnastics,Haiti
LAMBDIN Stephen,Male,Taekwondo,United States
ABARCA Megan,Female,Artistic Swimming,United States
MWILA Florence,Female,Football,Zambia
ELFAKHARANY Hany,Male,Handball,Egypt
SIERRA MENDEZ Jose Manuel,Male,Handball,Egypt
PASTOR GOMEZ Juan Carlos,Male,Handball,Egypt
VATKIN Vladimir,Male,Artistic Gymnastics,Kazakhstan
KURBANOV Khussanzhan,Male,Artistic Gymnastics,Kazakhstan
KENESSOV Sapargali,Male,Artistic Gymnastics,Kazakhstan
ALMAAZMI Abdalla,Male,Taekwondo,Palestine
RODRIGUEZ VAQUERO Jose Maria,Male,Handball,Hungary
VELASCO ENCINAS Miguel Angel,Male,Handball,Hungary
ZOLGHADRI Farzad,Male,Taekwondo,Bulgaria
GOLOVIN Vlagyimir Alekszandrovics,Male,Handball,Hungary
PIGNICZKI Krisztina,Female,Handball,Hungary
MASCHERANO Javier,Male,Football,Argentina
MARSIGLIA Angelo,Male,Football,Colombia
RODRIGUEZ Lucas,Male,Football,Argentina
STILLITANO Leandro,Male,Football,Argentina
AGUILAR ESTRADA Eduardo,Male,Hockey,Spain
CALDAS Maximiliano,Male,Hockey,Spain
GARCIA CUENCA Carlos,Male,Hockey,Spain
