team,team_gender,country,discipline
France,M,France,Cycling Track
Great Britain,M,Great Britain,Cycling Track
Germany,M,Germany,Cycling Track
Italy,M,Italy,Cycling Track
Japan,M,Japan,Cycling Track
New Zealand,M,New Zealand,Cycling Track
Australia,M,Australia,Cycling Track
Canada,M,Canada,Cycling Track
People's Republic of China,M,China,Cycling Track
France,M,France,Cycling Track
Great Britain,M,Great Britain,Cycling Track
Germany,M,Germany,Cycling Track
Japan,M,Japan,Cycling Track
Netherlands,M,Netherlands,Cycling Track
Australia,W,Australia,Cycling Track
Belgium,W,Belgium,Cycling Track
Canada,W,Canada,Cycling Track
Denmark,W,Denmark,Cycling Track
France,W,France,Cycling Track
Great Britain,W,Great Britain,Cycling Track
Germany,W,Germany,Cycling Track
Ireland,W,Ireland,Cycling Track
Italy,W,Italy,Cycling Track
Japan,W,Japan,Cycling Track
Netherlands,W,Netherlands,Cycling Track
New Zealand,W,New Zealand,Cycling Track
Poland,W,Poland,Cycling Track
Switzerland,W,Switzerland,Cycling Track
United States of America,W,United States,Cycling Track
Australia,W,Australia,Cycling Track
Canada,W,Canada,Cycling Track
France,W,France,Cycling Track
Great Britain,W,Great Britain,Cycling Track
Germany,W,Germany,Cycling Track
Ireland,W,Ireland,Cycling Track
Italy,W,Italy,Cycling Track
Japan,W,Japan,Cycling Track
New Zealand,W,New Zealand,Cycling Track
United States of America,W,United States,Cycling Track
Canada,W,Canada,Cycling Track
People's Republic of China,W,China,Cycling Track
Great Britain,W,Great Britain,Cycling Track
Germany,W,Germany,Cycling Track
Mexico,W,Mexico,Cycling Track
Netherlands,W,Netherlands,Cycling Track
New Zealand,W,New Zealand,Cycling Track
Poland,W,Poland,Cycling Track
Australia,M,Australia,Diving
Canada,M,Canada,Diving
People's Republic of China,M,China,Diving
France,M,France,Diving
Great Britain,M,Great Britain,Diving
Germany,M,Germany,Diving
Mexico,M,Mexico,Diving
Ukraine,M,Ukraine,Diving
People's Republic of China,M,China,Diving
Spain,M,Spain,Diving
France,M,France,Diving
Great Britain,M,Great Britain,Diving
Italy,M,Italy,Diving
Mexico,M,Mexico,Diving
Ukraine,M,Ukraine,Diving
United States of America,M,United States,Diving
Canada,W,Canada,Diving
People's Republic of China,W,China,Diving
France,W,France,Diving
Great Britain,W,Great Britain,Diving
Mexico,W,Mexico,Diving
Democratic People's Republic of Korea,W,DPR Korea,Diving
Ukraine,W,Ukraine,Diving
United States of America,W,United States,Diving
Australia,W,Australia,Diving
People's Republic of China,W,China,Diving
France,W,France,Diving
Great Britain,W,Great Britain,Diving
Germany,W,Germany,Diving
Italy,W,Italy,Diving
Ukraine,W,Ukraine,Diving
United States of America,W,United States,Diving
Australia,O,Australia,Equestrian
Austria,O,Austria,Equestrian
Belgium,O,Belgium,Equestrian
Canada,O,Canada,Equestrian
Denmark,O,Denmark,Equestrian
Spain,O,Spain,Equestrian
Finland,O,Finland,Equestrian
France,O,France,Equestrian
Great Britain,O,Great Britain,Equestrian
Germany,O,Germany,Equestrian
Netherlands,O,Netherlands,Equestrian
Poland,O,Poland,Equestrian
Portugal,O,Portugal,Equestrian
Sweden,O,Sweden,Equestrian
United States of America,O,United States,Equestrian
Australia,O,Australia,Equestrian
Belgium,O,Belgium,Equestrian
Brazil,O,Brazil,Equestrian
Canada,O,Canada,Equestrian
France,O,France,Equestrian
Great Britain,O,Great Britain,Equestrian
Germany,O,Germany,Equestrian
Ireland,O,Ireland,Equestrian
Italy,O,Italy,Equestrian
Japan,O,Japan,Equestrian
Netherlands,O,Netherlands,Equestrian
New Zealand,O,New Zealand,Equestrian
Poland,O,Poland,Equestrian
Switzerland,O,Switzerland,Equestrian
