name,gender,disciplines,country
McCANN Luke,Male,['Athletics'],Ireland
McCORMACK Fionnuala,Female,['Athletics'],Ireland
CATTERSON Victoria,Female,['Swimming'],Ireland
FERGUSON Conor,Male,['Swimming'],Ireland
WIFFEN Daniel,Male,"['Marathon Swimming', 'Swimming']",Ireland
ARMITAGE Megan,Female,['Cycling Road'],Ireland
GILLESPIE Lara,Female,['Cycling Track'],Ireland
MURPHY Kelly,Female,['Cycling Track'],Ireland
GRIFFIN Mia,Female,['Cycling Track'],Ireland
CREIGHTON Erin,Female,['Cycling Track'],Ireland
SHARPE Alice,Female,['Cycling Track'],Ireland
HEALY Ben,Male,['Cycling Road'],Ireland
MAGUIRE Leona,Female,['Golf'],Ireland
Mc CLENAGHAN Rhys,Male,['Artistic Gymnastics'],Ireland
MURTAGH Fiona,Female,['Rowing'],Ireland
MAGNER Imogen,Female,['Rowing'],Ireland
LONG Natalie,Female,['Rowing'],Ireland
CASEY Aoife,Female,['Rowing'],Ireland
KEOGH Aifric,Female,['Rowing'],Ireland
TOSTI Alejandro,Male,['Golf'],Argentina
BAR Juan,Male,['Handball'],Argentina
BONANNO Nicolas,Male,['Handball'],Argentina
FERNANDEZ Federico,Male,['Handball'],Argentina
FISCHER Guillermo,Male,['Handball'],Argentina
MACIEL Leonel,Male,['Handball'],Argentina
PENRUDDOCKE Adriana,Female,['Sailing'],Bermuda
MARTINEZ CAMI Pedro,Male,['Handball'],Argentina
WEBSTER Charlotte,Female,['Sailing'],Cayman Islands
MOSCARIELLO Lucas,Male,['Handball'],Argentina
MOYANO Andres,Male,['Handball'],Argentina
MOURINO Gaston,Male,['Handball'],Argentina
PARKER James,Male,['Handball'],Argentina
PIZARRO Federico,Male,['Handball'],Argentina
CROOKS Jillian Janis Geohagan,Female,['Swimming'],Cayman Islands
HARVEY Emma,Female,['Swimming'],Bermuda
HAWLEY Erica,Female,['Triathlon'],Bermuda
SMITH Tyler,Male,['Triathlon'],Bermuda
ALEXUC CIURARIU Alin,Male,['Wrestling'],Romania
ARNAUT Razvan,Male,['Wrestling'],Romania
ANA Andreea Beatrice,Female,['Wrestling'],Romania
AXENTE Catalina,Female,['Wrestling'],Romania
INCZE Kriszta Tunde,Female,['Wrestling'],Romania
TAZHUDINOV Akhmed,Male,['Wrestling'],Bahrain
ERATI Kaimauri,Male,['Weightlifting'],Kiribati
MINASYAN Gor,Male,['Weightlifting'],Bahrain
MONTANO Lesman,Male,['Weightlifting'],Bahrain
AIT BEKKA Jugurtha,Male,['Boxing'],Algeria
KADI Mourad,Male,['Boxing'],Algeria
BOUALAM Roumaysa,Female,['Boxing'],Algeria
KHELIF Imane,Female,['Boxing'],Algeria
KHELIF Dounia,Female,['Boxing'],Algeria
PIZARRO Ignacio,Male,['Handball'],Argentina
SIMONET Pablo,Male,['Handball'],Argentina
SIMONET Diego,Male,['Handball'],Argentina
BONO Nicolas,Male,['Handball'],Argentina
MONETA Marcos,Male,['Rugby Sevens'],Argentina
VERA FELD Santiago,Male,['Rugby Sevens'],Argentina
OSADCZUK Matias,Male,['Rugby Sevens'],Argentina
ALVAREZ Santiago,Male,['Rugby Sevens'],Argentina
SCHULZ German,Male,['Rugby Sevens'],Argentina
PELLANDINI Joaquin,Male,['Rugby Sevens'],Argentina
REVOL Gaston,Male,['Rugby Sevens'],Argentina
OPTI Soren,Male,['Badminton'],Suriname
ELIZALDE Tomas,Male,['Rugby Sevens'],Argentina
WADE Tobias,Male,['Rugby Sevens'],Argentina
GRAZIANO Matteo,Male,['Rugby Sevens'],Argentina
GONZALEZ Luciano,Male,['Rugby Sevens'],Argentina
FRAGA Agustin,Male,['Rugby Sevens'],Argentina
ISGRO Rodrigo,Male,['Rugby Sevens'],Argentina
DELL OLIO Matias,Male,['Skateboarding'],Argentina
GOMEZ SANCHEZ Manuela,Female,['Canoe Sprint'],Colombia
SCHREUDERS Mikel,Male,['Swimming'],Aruba
WESTERA Ethan,Male,['Sailing'],Aruba
van AANHOLT Just,Male,['Sailing'],Aruba
ELHAGE Phili,Male,['Shooting'],Aruba
HOWELL Shanayah,Female,['Cycling BMX Racing'],Aruba
ARIAS CASTANEDA Yeni Marcela,Female,['Boxing'],Colombia
VALENCIA VICTORIA Ingrit Lorena,Female,['Boxing'],Colombia
GONZALEZ LANDAZURY Yilmar Leandro,Male,['Boxing'],Colombia
RODRIGUEZ John Edison,Male,['Fencing'],Colombia
ZUMAYA FLORES Goretti Alejandra,Female,['Shooting'],Mexico
