name,gender,discipline,country,medal_type
Hungary,M,Fencing,Hungary,Silver Medal
France,M,Fencing,France,Bronze Medal
Lasha BEKAURI,M,Judo,Georgia,Gold Medal
MURAO Sanshiro,M,Judo,Japan,Silver Medal
Maxime-Gael NGAYAP HAMBOU,M,Judo,France,Bronze Medal
Theodoros TSELIDIS,M,Judo,Greece,Bronze Medal
Barbara MATIC,W,Judo,Croatia,Gold Medal
Miriam BUTKEREIT,W,Judo,Germany,Silver Medal
Michaela POLLERES,W,Judo,Austria,Bronze Medal
Gabriella WILLEMS,W,Judo,Belgium,Bronze Medal
Netherlands,M,Rowing,Netherlands,Gold Medal
Italy,M,Rowing,Italy,Silver Medal
Poland,M,Rowing,Poland,Bronze Medal
Great Britain,W,Rowing,Great Britain,Gold Medal
Netherlands,W,Rowing,Netherlands,Silver Medal
Germany,W,Rowing,Germany,Bronze Medal
Adriana RUANO OLIVA,W,Shooting,Guatemala,Gold Medal
Silvana Maria STANCO,W,Shooting,Italy,Silver Medal
Penny SMITH,W,Shooting,Australia,Bronze Medal
PAN Zhanle,M,Swimming,China,Gold Medal
Kyle CHALMERS,M,Swimming,Australia,Silver Medal
David POPOVICI,M,Swimming,Romania,Bronze Medal
Leon MARCHAND,M,Swimming,France,Gold Medal
Zac STUBBLETY-COOK,M,Swimming,Australia,Silver Medal
Caspar CORBEAU,M,Swimming,Netherlands,Bronze Medal
Leon MARCHAND,M,Swimming,France,Gold Medal
Kristof MILAK,M,Swimming,Hungary,Silver Medal
Ilya KHARUN,M,Swimming,Canada,Bronze Medal
Sarah SJOESTROEM,W,Swimming,Sweden,Gold Medal
Torri HUSKE,W,Swimming,United States,Silver Medal
HAUGHEY Siobhan Bernadette,W,Swimming,"Hong Kong, China",Bronze Medal
Katie LEDECKY,W,Swimming,United States,Gold Medal
Anastasiia KIRPICHNIKOVA,W,Swimming,France,Silver Medal
Isabel GOSE,W,Swimming,Germany,Bronze Medal
Alex YEE,M,Triathlon,Great Britain,Gold Medal
Hayden WILDE,M,Triathlon,New Zealand,Silver Medal
Leo BERGERE,M,Triathlon,France,Bronze Medal
Cassandre BEAUGRAND,W,Triathlon,France,Gold Medal
Julie DERRON,W,Triathlon,Switzerland,Silver Medal
Beth POTTER,W,Triathlon,Great Britain,Bronze Medal
Simone BILES,W,Artistic Gymnastics,United States,Gold Medal
Rebeca ANDRADE,W,Artistic Gymnastics,Brazil,Silver Medal
Sunisa LEE,W,Artistic Gymnastics,United States,Bronze Medal
Brian Daniel PINTADO,M,Athletics,Ecuador,Gold Medal
Caio BONFIM,M,Athletics,Brazil,Silver Medal
Alvaro MARTIN,M,Athletics,Spain,Bronze Medal
YANG Jiayu,W,Athletics,China,Gold Medal
Maria PEREZ,W,Athletics,Spain,Silver Medal
Jemima MONTAG,W,Athletics,Australia,Bronze Medal
Giovanni de GENNARO,M,Canoe Slalom,Italy,Gold Medal
Titouan CASTRYCK,M,Canoe Slalom,France,Silver Medal
Pau ECHANIZ,M,Canoe Slalom,Spain,Bronze Medal
United States,W,Fencing,United States,Gold Medal
Italy,W,Fencing,Italy,Silver Medal
Japan,W,Fencing,Japan,Bronze Medal
Zelym KOTSOIEV,M,Judo,Azerbaijan,Gold Medal
Ilia SULAMANIDZE,M,Judo,Georgia,Silver Medal
Peter PALTCHIK,M,Judo,Israel,Bronze Medal
Muzaffarbek TUROBOYEV,M,Judo,Uzbekistan,Bronze Medal
Alice BELLANDI,W,Judo,Italy,Gold Medal
Inbar LANIR,W,Judo,Israel,Silver Medal
MA Zhenzhao,W,Judo,China,Bronze Medal
Patricia SAMPAIO,W,Judo,Portugal,Bronze Medal
Romania,M,Rowing,Romania,Gold Medal
Netherlands,M,Rowing,Netherlands,Silver Medal
Ireland,M,Rowing,Ireland,Bronze Medal
United States,M,Rowing,United States,Gold Medal
New Zealand,M,Rowing,New Zealand,Silver Medal
Great Britain,M,Rowing,Great Britain,Bronze Medal
New Zealand,W,Rowing,New Zealand,Gold Medal
Romania,W,Rowing,Romania,Silver Medal
Great Britain,W,Rowing,Great Britain,Bronze Medal
Netherlands,W,Rowing,Netherlands,Gold Medal
Great Britain,W,Rowing,Great Britain,Silver Medal
New Zealand,W,Rowing,New Zealand,Bronze Medal
LIU Yukun,M,Shooting,China,Gold Medal
Serhiy KULISH,M,Shooting,Ukraine,Silver Medal
Swapnil KUSALE,M,Shooting,India,Bronze Medal
Hubert KOS,M,Swimming,Hungary,Gold Medal
Apostolos CHRISTOU,M,Swimming,Greece,Silver Medal
Roman MITYUKOV,M,Swimming,Switzerland,Bronze Medal
Kate DOUGLASS,W,Swimming,United States,Gold Medal
Tatjana SMITH,W,Swimming,South Africa,Silver Medal
Tes SCHOUTEN,W,Swimming,Netherlands,Bronze Medal
Summer McINTOSH,W,Swimming,Canada,Gold Medal
Regan SMITH,W,Swimming,United States,Silver Medal
ZHANG Yufei,W,Swimming,China,Bronze Medal
Australia,W,Swimming,Australia,Gold Medal
United States,W,Swimming,United States,Silver Medal
China,W,Swimming,China,Bronze Medal
Korea,X,Archery,Korea,Gold Medal
Germany,X,Archery,Germany,Silver Medal
United States,X,Archery,United States,Bronze Medal
Joshua CHEPTEGEI,M,Athletics,Uganda,Gold Medal
Berihu AREGAWI,M,Athletics,Ethiopia,Silver Medal
Grant FISHER,M,Athletics,United States,Bronze Medal
ZHENG/HUANG,X,Badminton,China,Gold Medal
KIM/JEONG,X,Badminton,Korea,Silver Medal
WATANABE/HIGASHINO,X,Badminton,Japan,Bronze Medal
Joris DAUDET,M,Cycling BMX Racing,France,Gold Medal
Sylvain ANDRE,M,Cycling BMX Racing,France,Silver Medal
Romain MAHIEU,M,Cycling BMX Racing,France,Bronze Medal
Saya SAKAKIBARA,W,Cycling BMX Racing,Australia,Gold Medal
Manon VEENSTRA,W,Cycling BMX Racing,Netherlands,Silver Medal
Zoe CLAESSENS,W,Cycling BMX Racing,Switzerland,Bronze Medal
China,M,Diving,China,Gold Medal
Mexico,M,Diving,Mexico,Silver Medal
Great Britain,M,Diving,Great Britain,Bronze Medal
Great Britain,O,Equestrian,Great Britain,Gold Medal
United States,O,Equestrian,United States,Silver Medal
France,O,Equestrian,France,Bronze Medal
Hungary,M,Fencing,Hungary,Gold Medal
Japan,M,Fencing,Japan,Silver Medal
Czechia,M,Fencing,Czechia,Bronze Medal
Teddy RINER,M,Judo,France,Gold Medal
KIM Minjong,M,Judo,Korea,Silver Medal
Temur RAKHIMOV,M,Judo,Tajikistan,Bronze Medal
Alisher YUSUPOV,M,Judo,Uzbekistan,Bronze Medal
Beatriz SOUZA,W,Judo,Brazil,Gold Medal
Raz HERSHKO,W,Judo,Israel,Silver Medal
KIM Hayun,W,Judo,Korea,Bronze Medal
Romane DICKO,W,Judo,France,Bronze Medal
Ireland,M,Rowing,Ireland,Gold Medal
Italy,M,Rowing,Italy,Silver Medal
Greece,M,Rowing,Greece,Bronze Medal
Great Britain,W,Rowing,Great Britain,Gold Medal
Romania,W,Rowing,Romania,Silver Medal
Greece,W,Rowing,Greece,Bronze Medal
Croatia,M,Rowing,Croatia,Gold Medal
Great Britain,M,Rowing,Great Britain,Silver Medal
Switzerland,M,Rowing,Switzerland,Bronze Medal
Netherlands,W,Rowing,Netherlands,Gold Medal
Romania,W,Rowing,Romania,Silver Medal
Australia,W,Rowing,Australia,Bronze Medal
BOTIN/TRITTEL,M,Sailing,Spain,Gold Medal
McHARDIE/McKENZIE,M,Sailing,New Zealand,Silver Medal
BARROWS/HENKEN,M,Sailing,United States,Bronze Medal
AANHOLT/DUETZ,W,Sailing,Netherlands,Gold Medal
BOBECK/NETZLER,W,Sailing,Sweden,Silver Medal
STEYAERT/PICON,W,Sailing,France,Bronze Medal
Chiara LEONE,W,Shooting,Switzerland,Gold Medal
Sagen MADDALENA,W,Shooting,United States,Silver Medal
ZHANG Qiongyue,W,Shooting,China,Bronze Medal
Leon MARCHAND,M,Swimming,France,Gold Medal
Duncan SCOTT,M,Swimming,Great Britain,Silver Medal
WANG Shun,M,Swimming,China,Bronze Medal
Cameron McEVOY,M,Swimming,Australia,Gold Medal
Benjamin PROUD,M,Swimming,Great Britain,Silver Medal
Florent MANAUDOU,M,Swimming,France,Bronze Medal
Kaylee McKEOWN,W,Swimming,Australia,Gold Medal
Regan SMITH,W,Swimming,United States,Silver Medal
Kylie MASSE,W,Swimming,Canada,Bronze Medal
SINIAKOVA/MACHAC,X,Tennis,Czechia,Gold Medal
WANG/ZHANG,X,Tennis,China,Silver Medal
DABROWSKI/AUGER-ALIAS,X,Tennis,Canada,Bronze Medal
Iga SWIATEK,W,Tennis,Poland,Bronze Medal
Ivan LITVINOVICH,M,Trampoline Gymnastics,AIN,Gold Medal
WANG Zisai,M,Trampoline Gymnastics,China,Silver Medal
YAN Langyu,M,Trampoline Gymnastics,China,Bronze Medal
Bryony PAGE,W,Trampoline Gymnastics,Great Britain,Gold Medal
Viyaleta BARDZILOUSKAYA,W,Trampoline Gymnastics,AIN,Silver Medal
Sophiane METHOT,W,Trampoline Gymnastics,Canada,Bronze Medal
LIM Sihyeon,W,Archery,Korea,Gold Medal
NAM Suhyeon,W,Archery,Korea,Silver Medal
Lisa BARBELIN,W,Archery,France,Bronze Medal
Carlos Edriel YULO,M,Artistic Gymnastics,Philippines,Gold Medal
Artem DOLGOPYAT,M,Artistic Gymnastics,Israel,Silver Medal
Jake JARMAN,M,Artistic Gymnastics,Great Britain,Bronze Medal
Rhys MC CLENAGHAN,M,Artistic Gymnastics,Ireland,Gold Medal
Nariman KURBANOV,M,Artistic Gymnastics,Kazakhstan,Silver Medal
Stephen NEDOROSCIK,M,Artistic Gymnastics,United States,Bronze Medal
Simone BILES,W,Artistic Gymnastics,United States,Gold Medal
Rebeca ANDRADE,W,Artistic Gymnastics,Brazil,Silver Medal
Jade CAREY,W,Artistic Gymnastics,United States,Bronze Medal
Netherlands,X,Athletics,Netherlands,Gold Medal
United States,X,Athletics,United States,Silver Medal
Great Britain,X,Athletics,Great Britain,Bronze Medal
Markus ROOTH,M,Athletics,Norway,Gold Medal
Leo NEUGEBAUER,M,Athletics,Germany,Silver Medal
Lindon VICTOR,M,Athletics,Grenada,Bronze Medal
Ryan CROUSER,M,Athletics,United States,Gold Medal
Joe KOVACS,M,Athletics,United States,Silver Medal
Rajindra CAMPBELL,M,Athletics,Jamaica,Bronze Medal
Julien ALFRED,W,Athletics,Saint Lucia,Gold Medal
Sha'carri RICHARDSON,W,Athletics,United States,Silver Medal
Melissa JEFFERSON,W,Athletics,United States,Bronze Medal
Thea LAFOND,W,Athletics,Dominica,Gold Medal
Shanieka RICKETTS,W,Athletics,Jamaica,Silver Medal
Jasmine MOORE,W,Athletics,United States,Bronze Medal
CHEN/JIA,W,Badminton,China,Gold Medal
LIU/TAN,W,Badminton,China,Silver Medal
MATSUYAMA/SHIDA,W,Badminton,Japan,Bronze Medal
WU Shih Yi,W,Boxing,Chinese Taipei,Bronze Medal
Beatriz Iasmin SOARES FERREIRA,W,Boxing,Brazil,Bronze Medal
Remco EVENEPOEL,M,Cycling Road,Belgium,Gold Medal
Valentin MADOUAS,M,Cycling Road,France,Silver Medal
Christophe LAPORTE,M,Cycling Road,France,Bronze Medal
Germany,O,Equestrian,Germany,Gold Medal
Denmark,O,Equestrian,Denmark,Silver Medal
Great Britain,O,Equestrian,Great Britain,Bronze Medal
Ukraine,W,Fencing,Ukraine,Gold Medal
Korea,W,Fencing,Korea,Silver Medal
Japan,W,Fencing,Japan,Bronze Medal
France,X,Judo,France,Gold Medal
Japan,X,Judo,Japan,Silver Medal
Brazil,X,Judo,Brazil,Bronze Medal
Korea,X,Judo,Korea,Bronze Medal
Great Britain,M,Rowing,Great Britain,Gold Medal
Netherlands,M,Rowing,Netherlands,Silver Medal
United States,M,Rowing,United States,Bronze Medal
Oliver ZEIDLER,M,Rowing,Germany,Gold Medal
Yauheni ZALATY,M,Rowing,AIN,Silver Medal
Simon van DORP,M,Rowing,Netherlands,Bronze Medal
Romania,W,Rowing,Romania,Gold Medal
Canada,W,Rowing,Canada,Silver Medal
Great Britain,W,Rowing,Great Britain,Bronze Medal
Karolien FLORIJN,W,Rowing,Netherlands,Gold Medal
Emma TWIGG,W,Rowing,New Zealand,Silver Medal
Viktorija SENKUTE,W,Rowing,Lithuania,Bronze Medal
Tom REUVENY,M,Sailing,Israel,Gold Medal
Grae MORRIS,M,Sailing,Australia,Silver Medal
Luuc van OPZEELAND,M,Sailing,Netherlands,Bronze Medal
Marta MAGGETTI,W,Sailing,Italy,Gold Medal
Sharon KANTOR,W,Sailing,Israel,Silver Medal
Emma WILSON,W,Sailing,Great Britain,Bronze Medal
YANG Jiin,W,Shooting,Korea,Gold Medal
Camille JEDRZEJEWSKI,W,Shooting,France,Silver Medal
Veronika MAJOR,W,Shooting,Hungary,Bronze Medal
Vincent HANCOCK,M,Shooting,United States,Gold Medal
Conner Lynn PRINCE,M,Shooting,United States,Silver Medal
LEE Meng Yuan,M,Shooting,Chinese Taipei,Bronze Medal
Kristof MILAK,M,Swimming,Hungary,Gold Medal
Josh LIENDO,M,Swimming,Canada,Silver Medal
Ilya KHARUN,M,Swimming,Canada,Bronze Medal
United States,X,Swimming,United States,Gold Medal
China,X,Swimming,China,Silver Medal
Australia,X,Swimming,Australia,Bronze Medal
Summer McINTOSH,W,Swimming,Canada,Gold Medal
Kate DOUGLASS,W,Swimming,United States,Silver Medal
Kaylee McKEOWN,W,Swimming,Australia,Bronze Medal
Katie LEDECKY,W,Swimming,United States,Gold Medal
Ariarne TITMUS,W,Swimming,Australia,Silver Medal
Paige MADDEN,W,Swimming,United States,Bronze Medal
CHEN Meng,W,Table Tennis,China,Gold Medal
SUN Yingsha,W,Table Tennis,China,Silver Medal
Hina HAYATA,W,Table Tennis,Japan,Bronze Medal
